37.741911,-122.259914
35.10478,-106.646809
38.819251,-77.08367
61.17425,-149.284329
42.276147,-83.73086
35.725577,-78.879919
38.878337,-77.100703
33.762909,-84.422675
30.298622,-97.754134
47.597837,-122.15648
37.865673,-122.298725
40.626424,-75.367898
42.338551,-71.018253
40.024431,-105.251251
42.376043,-71.11868
35.209045,-80.83099
41.837045,-87.684939
38.94729,-92.326387
39.985531,-82.985594
26.311716,-80.125378
39.76185,-104.881105
35.977928,-78.898109
31.84778,-106.431106
44.056848,-123.119019
26.141227,-80.146731
37.49446,-121.94115
29.679537,-82.346793
40.275891,-76.88502
40.745251,-74.027926
29.785743,-95.388806
40.711417,-74.06476
39.125155,-94.550313
38.579356,-90.420881
35.97068,-83.94927
32.769495,-117.021923
40.042061,-76.30099
27.560379,-99.489181
36.233499,-115.264037
34.019394,-118.410825
38.165376,-85.647377
32.80899,-83.69406
43.087815,-89.429856
43.063348,-87.966695
44.963324,-93.26832
34.04838,-118.133165
40.662712,-73.938677
41.887164,-87.78994
35.467079,-97.513657
41.262705,-96.053475
28.472818,-81.320242
40.009376,-75.133346
45.536951,-122.649971
37.531399,-77.476009
38.567694,-121.468161
38.375198,-75.586555
29.462809,-98.524635
32.830391,-117.120923
37.727239,-123.032229
37.296011,-121.814552
35.266195,-120.668438
34.403592,-119.713714
38.445824,-122.706181
32.012457,-81.194157
47.619335,-122.351538
42.390445,-71.101033
41.079611,-73.54608
47.252199,-122.459832
27.970086,-82.479673
33.388414,-111.931782
41.664071,-83.581861
33.189528,-117.238582
38.904243,-77.016524
36.923587,-121.772395
34.088268,-118.371831
26.745114,-80.127038
