caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,dayname,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2018,36,360001,New York,1,1,0,0,0,1,1,71,ORANGE (71),4060,NEWBURGH,1,1,1,January,2018,2,Monday,6,6:00am-6:59am,44,44,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-300,UNION AVE,0,None,41.52974444,41.52974444,-74.068300000,-74.068300000,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,4,Y-Intersection,0,None,,,4,On Roadside,4,Dawn,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,6,6:00am-6:59am,50,50,6,6:00am-6:59am,51,51,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,36,360002,New York,1,1,0,0,0,1,1,25,DELAWARE (25),1490,DELHI,6,6,1,January,2018,7,Saturday,18,6:00pm-6:59pm,52,52,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,1,State Highway Agency,3,State Highway,SR-10,,0,None,42.24842778,42.24842778,-74.964136110,-74.964136110,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,4,Snow,0,No Additional Atmospheric Conditions,4,Snow,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,52,52,19,7:00pm-7:59pm,23,23,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,36,360003,New York,2,2,0,0,0,3,3,67,ONONDAGA (67),6010,SYRACUSE,3,3,1,January,2018,4,Wednesday,13,1:00pm-1:59pm,2,2,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,2,U.S. Highway,US-11 S SALINA ST,E LAFAYETTE AVE,0,None,43.01968056,43.01968056,-76.142508330,-76.142508330,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,,,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,0,0,14,2:00pm-2:59pm,9,9,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,36,360004,New York,2,2,0,0,0,3,3,111,ULSTER (111),5639,SHANDAKEN,8,8,1,January,2018,2,Monday,14,2:00pm-2:59pm,18,18,1,This section IS ON the NHS,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,3,State Highway,SR-28,,0,None,42.02161389,42.02161389,-74.269263890,-74.269263890,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,4,Snow,0,No Additional Atmospheric Conditions,4,Snow,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,18,18,15,3:00pm-3:59pm,0,0,17,5:00pm-5:59pm,0,0,0,None,0,None,0,None,1,0
2018,36,360005,New York,1,1,0,1,1,1,1,59,NASSAU (59),2600,HEMPSTEAD,3,3,1,January,2018,4,Wednesday,16,4:00pm-4:59pm,15,15,0,This section IS NOT on the NHS,2,Urban,5,Major Collector,2,County Highway Agency,8,Other,LONG BEACH RD,WATERFORD RD,0,None,40.60670000,40.60670000,-73.655352780,-73.655352780,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,4,Y-Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,16,16,16,4:00pm-4:59pm,18,18,16,4:00pm-4:59pm,29,29,0,None,0,None,0,None,1,0
2018,36,360006,New York,1,1,0,1,1,2,2,81,QUEENS (81),4170,NEW YORK -QUEENS,5,5,1,January,2018,6,Friday,13,1:00pm-1:59pm,44,44,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,3,State Highway,SR-25A NORTHERN BLVD,90TH ST,0,None,40.75633889,40.75633889,-73.877930560,-73.877930560,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,44,44,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,36,360007,New York,1,1,0,1,1,1,1,81,QUEENS (81),4170,NEW YORK -QUEENS,10,10,1,January,2018,4,Wednesday,7,7:00am-7:59am,8,8,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,PARSONS BLVD,32ND AVE,0,None,40.76928056,40.76928056,-73.824402780,-73.824402780,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,,,1,On Roadway,4,Dawn,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,36,360008,New York,1,1,0,0,0,1,1,123,YATES (123),4740,PENN YAN,7,7,1,January,2018,1,Sunday,19,7:00pm-7:59pm,50,50,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,2,County Highway Agency,8,Other,HIMROD RD,,0,None,42.64978611,42.64978611,-77.015672220,-77.015672220,0,No Special Jurisdiction,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,51,51,20,8:00pm-8:59pm,1,1,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,36,360009,New York,1,1,0,0,0,1,1,55,MONROE (55),2898,IRONDEQUOIT,7,7,1,January,2018,1,Sunday,22,10:00pm-10:59pm,58,58,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,3,Town or Township Highway Agency,3,State Highway,SR-590,TITUS AVE,0,None,43.21169722,43.21169722,-77.549675000,-77.549675000,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,,,4,On Roadside,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,58,58,23,11:00pm-11:59pm,5,5,23,11:00pm-11:59pm,35,35,0,None,0,None,0,None,1,0
2018,36,360010,New York,1,1,0,0,0,1,1,25,DELAWARE (25),3550,MARGARETVILLE,1,1,1,January,2018,2,Monday,22,10:00pm-10:59pm,35,35,0,This section IS NOT on the NHS,1,Rural,7,Local,3,Town or Township Highway Agency,5,Local Street - Township,HUCKLEBERRY BROOK SPUR RD,,0,None,42.11404722,42.11404722,-74.662180560,-74.662180560,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,2,Rain,10,Cloudy,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
