caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,dayname,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2018,29,290001,Missouri,1,1,0,0,0,1,1,49,CLINTON (49),7830,TURNEY,1,1,1,January,2018,2,Monday,1,1:00am-1:59am,15,15,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,1,State Highway Agency,3,State Highway,SR-A,SR-H SJ,113,113,39.63744444,39.63744444,-94.321722220,-94.321722220,0,No Special Jurisdiction,31,"Post, Pole or Other Supports",0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,,,4,On Roadside,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,29,290002,Missouri,1,1,0,0,0,1,1,95,JACKSON (95),4120,KANSAS CITY,1,1,1,January,2018,2,Monday,4,4:00am-4:59am,9,9,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,GRANDVIEW RD,,18,18,38.94774167,38.94774167,-94.548033330,-94.548033330,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,3,Dark - Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,4,4:00am-4:59am,9,9,4,4:00am-4:59am,16,16,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,29,290003,Missouri,3,3,0,0,0,5,5,99,JEFFERSON (99),0,NOT APPLICABLE,1,1,1,January,2018,2,Monday,10,10:00am-10:59am,10,10,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-67,MONTAUK DR,103,103,38.16736111,38.16736111,-90.450638890,-90.450638890,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,10,10:00am-10:59am,12,12,10,10:00am-10:59am,17,17,10,10:00am-10:59am,44,44,0,None,0,None,0,None,1,0
2018,29,290004,Missouri,1,1,0,1,1,1,1,510,ST. LOUIS (CITY) (510),7080,ST LOUIS,2,2,1,January,2018,3,Tuesday,17,5:00pm-5:59pm,25,25,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,BROADWAY,,15,15,38.70658333,38.70658333,-90.230166670,-90.230166670,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,24,24,17,5:00pm-5:59pm,34,34,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,29,290005,Missouri,2,2,0,1,1,1,1,229,WRIGHT (229),0,NOT APPLICABLE,4,4,1,January,2018,5,Thursday,17,5:00pm-5:59pm,40,40,0,This section IS NOT on the NHS,1,Rural,6,Minor Collector,1,State Highway Agency,3,State Highway,SR-E,,103,103,37.30411111,37.30411111,-92.397027780,-92.397027780,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,44,44,18,6:00pm-6:59pm,25,25,19,7:00pm-7:59pm,12,12,19,Recent/Previous Crash scene Nearby,23,Indication of a Stalled/Disabled Vehicle,0,None,1,1
2018,29,290006,Missouri,1,1,0,1,1,1,1,189,ST. LOUIS (189),650,BERKELEY,5,5,1,January,2018,6,Friday,18,6:00pm-6:59pm,50,50,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,6,Local Street - Municipality,AIRPORT RD,,11,11,38.74980556,38.74980556,-90.327250000,-90.327250000,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,43,43,18,6:00pm-6:59pm,47,47,19,7:00pm-7:59pm,9,9,0,None,0,None,0,None,1,0
2018,29,290007,Missouri,1,1,0,0,0,2,2,99,JEFFERSON (99),0,NOT APPLICABLE,5,5,1,January,2018,6,Friday,23,11:00pm-11:59pm,26,26,0,This section IS NOT on the NHS,2,Urban,5,Major Collector,2,County Highway Agency,4,County Road,CR-LONEDELL RD,,4,4,38.44961111,38.44961111,-90.438500000,-90.438500000,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,2,1
2018,29,290008,Missouri,1,1,0,0,0,2,2,95,JACKSON (95),3280,GRANDVIEW,5,5,1,January,2018,6,Friday,15,3:00pm-3:59pm,45,45,0,This section IS NOT on the NHS,2,Urban,7,Local,4,City or Municipal Highway Agency,6,Local Street - Municipality,15TH ST,,13,13,38.88027778,38.88027778,-94.528636110,-94.528636110,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,1,Daylight,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,50,50,15,3:00pm-3:59pm,54,54,16,4:00pm-4:59pm,9,9,0,None,0,None,0,None,1,1
2018,29,290010,Missouri,1,1,0,0,0,2,2,77,GREENE (77),7460,SPRINGFIELD,6,6,1,January,2018,7,Saturday,13,1:00pm-1:59pm,48,48,0,This section IS NOT on the NHS,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,6,Local Street - Municipality,BENNETT ST,,7,7,37.19000000,37.19000000,-93.327102780,-93.327102780,0,No Special Jurisdiction,43,Other Fixed Object,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,48,48,13,1:00pm-1:59pm,56,56,14,2:00pm-2:59pm,28,28,0,None,0,None,0,None,1,0
2018,29,290011,Missouri,1,1,0,1,1,1,1,147,NODAWAY (147),5040,MARYVILLE,7,7,1,January,2018,1,Sunday,0,0:00am-0:59am,40,40,0,This section IS NOT on the NHS,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,6,Local Street - Municipality,BUCHANAN ST,,5,5,40.34947222,40.34947222,-94.874166670,-94.874166670,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,3,Dark - Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,0,0:00am-0:59am,42,42,0,0:00am-0:59am,47,47,0,0:00am-0:59am,55,55,0,None,0,None,0,None,1,1
