caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,dayname,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2018,8,80001,Colorado,1,1,0,0,0,1,1,5,ARAPAHOE (5),110,AURORA,1,1,1,January,2018,2,Monday,1,1:00am-1:59am,57,57,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,6,Local Street - Municipality,E HAMPDEN AVE,,0,None,39.65294444,39.65294444,-104.793277800,-104.79327778,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,3,Dark - Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,1,1:00am-1:59am,59,59,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,8,80002,Colorado,1,1,0,0,0,1,1,69,LARIMER (69),0,NOT APPLICABLE,1,1,1,January,2018,2,Monday,21,9:00pm-9:59pm,30,30,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,2,County Highway Agency,4,County Road,CR-54G,,0,None,40.62596944,40.62596944,-105.135033300,-105.13503333,0,No Special Jurisdiction,59,Traffic Sign Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,35,35,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2018,8,80003,Colorado,1,1,0,0,0,3,3,75,LOGAN (75),0,NOT APPLICABLE,7,7,1,January,2018,1,Sunday,7,7:00am-7:59am,10,10,0,This section IS NOT on the NHS,1,Rural,4,Minor Arterial,1,State Highway Agency,2,U.S. Highway,US-6,,4143,4143,40.65465000,40.65465000,-103.034211100,-103.03421111,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,4,Dawn,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,7,7:00am-7:59am,11,11,7,7:00am-7:59am,24,24,7,7:00am-7:59am,56,56,0,None,0,None,0,None,1,0
2018,8,80004,Colorado,1,1,0,1,1,2,2,5,ARAPAHOE (5),110,AURORA,5,5,1,January,2018,6,Friday,20,8:00pm-8:59pm,49,49,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,E ARAPAHOE RD,,0,None,39.59488889,39.59488889,-104.798811100,-104.79881111,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,49,49,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,8,80005,Colorado,2,2,0,0,0,5,5,25,CROWLEY (25),0,NOT APPLICABLE,8,8,1,January,2018,2,Monday,22,10:00pm-10:59pm,45,45,0,This section IS NOT on the NHS,1,Rural,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-96,,966,966,38.17677222,38.17677222,-103.908955600,-103.90895556,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,2,0
2018,8,80006,Colorado,2,2,0,0,0,3,3,31,DENVER (31),600,DENVER,9,9,1,January,2018,3,Tuesday,15,3:00pm-3:59pm,8,8,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-40  W COLFAX AVE,I-25 NB OFF RAMP,2969,2969,39.74030000,39.74030000,-105.012522200,-105.01252222,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,1,Yes,2,Intersection,3,T-Intersection,0,None,,,1,On Roadway,1,Daylight,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,27,27,15,3:00pm-3:59pm,32,32,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,8,80007,Colorado,1,1,0,1,1,3,3,41,EL PASO (41),430,COLORADO SPGS,2,2,1,January,2018,3,Tuesday,15,3:00pm-3:59pm,25,25,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,6,Local Street - Municipality,S NEVADA AVE,E LAS VEGAS ST,0,None,38.81833333,38.81833333,-104.822513900,-104.82251389,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,,,1,On Roadway,1,Daylight,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,25,25,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,8,80008,Colorado,1,1,0,1,1,1,1,41,EL PASO (41),430,COLORADO SPGS,4,4,1,January,2018,5,Thursday,16,4:00pm-4:59pm,2,2,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,6,Local Street - Municipality,N CIRCLE DR,GALLEY DR,0,None,38.84694444,38.84694444,-104.775916700,-104.77591667,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,,,1,On Roadway,1,Daylight,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,2,2,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,16,4:00pm-4:59pm,11,11,0,None,0,None,0,None,1,0
2018,8,80009,Colorado,1,1,0,0,0,1,1,41,EL PASO (41),430,COLORADO SPGS,4,4,1,January,2018,5,Thursday,23,11:00pm-11:59pm,46,46,1,This section IS ON the NHS,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,2,U.S. Highway,US-24 RAMP G,,3108,3108,38.83742222,38.83742222,-104.720075000,-104.720075000,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,1,Yes,5,Entrance/Exit Ramp Related,1,Not an Intersection,0,None,,,8,Gore,3,Dark - Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,46,46,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,8,80010,Colorado,4,4,0,1,1,4,4,59,JEFFERSON (59),1435,LAKEWOOD,14,14,1,January,2018,1,Sunday,22,10:00pm-10:59pm,18,18,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,3,State Highway,SR-121  S WADSWORTH BLVD,,102,102,39.69102222,39.69102222,-105.081633300,-105.08163333,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,18,18,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
