caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,dayname,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2018,2,20001,Alaska,1,1,0,0,0,1,1,20,ANCHORAGE (20),130,ANCHORAGE,3,3,1,January,2018,4,Wednesday,3,3:00am-3:59am,36,36,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,6,Local Street - Municipality,OLD SEWARD HWY,,71,71,61.17872778,61.17872778,-149.868150000,-149.868150000,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,3,Dark - Lighted,2,Rain,12,Freezing Rain or Drizzle,12,Freezing Rain or Drizzle,0,No,0000000,Not Applicable,3,3:00am-3:59am,36,36,3,3:00am-3:59am,41,41,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,2,20002,Alaska,2,2,0,0,0,6,6,170,MATANUSKA-SUSITNA (170),0,NOT APPLICABLE,4,4,1,January,2018,5,Thursday,13,1:00pm-1:59pm,46,46,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,6,Local Street - Municipality,KNIK-GOOSE BAY RD,SHADY LN,54,54,61.54006667,61.54006667,-149.565102800,-149.56510278,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,45,45,13,1:00pm-1:59pm,58,58,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,2,0
2018,2,20003,Alaska,2,2,0,0,0,4,4,20,ANCHORAGE (20),130,ANCHORAGE,16,16,1,January,2018,3,Tuesday,20,8:00pm-8:59pm,23,23,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,6,Local Street - Municipality,OMALLEY RD,LAKE OTIS PKWY,9,9,61.12308889,61.12308889,-149.834069400,-149.83406944,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,2,Rain,10,Cloudy,2,Rain,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,23,23,20,8:00pm-8:59pm,29,29,20,8:00pm-8:59pm,41,41,0,None,0,None,0,None,1,0
2018,2,20004,Alaska,1,1,0,0,0,2,2,50,BETHEL (50),150,ANIAK,20,20,1,January,2018,7,Saturday,7,7:00am-7:59am,14,14,0,This section IS NOT on the NHS,1,Rural,6,Minor Collector,4,City or Municipal Highway Agency,5,Local Street - Township,AIRPORT BLVD,,5,5,61.57802778,61.57802778,-159.557616700,-159.55761667,0,No Special Jurisdiction,11,Live Animal,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,2,1
2018,2,20005,Alaska,1,1,0,0,0,1,1,180,NOME (180),880,GOLOVIN,23,23,1,January,2018,3,Tuesday,1,1:00am-1:59am,30,30,0,This section IS NOT on the NHS,1,Rural,6,Minor Collector,1,State Highway Agency,6,Local Street - Municipality,NICHOLS ST,,1,1,64.54408611,64.54408611,-163.032166700,-163.03216667,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,6,Off Roadway-Location Unknown,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,88,Not Applicable (Not Notified),88,Not Applicable (Not Notified),88,Not Applicable,88,Not Applicable,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),22,Speed Limit is a Statutory Limit as Recorded or was determined as this state`s `basic rule`,0,None,0,None,1,1
2018,2,20006,Alaska,3,3,0,0,0,6,6,20,ANCHORAGE (20),130,ANCHORAGE,8,8,2,February,2018,5,Thursday,23,11:00pm-11:59pm,11,11,1,This section IS ON the NHS,2,Urban,1,Interstate,1,State Highway Agency,3,State Highway,SR-1 GLENN HWY,,168,168,61.38853056,61.38853056,-149.504825000,-149.504825000,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,12,12,23,11:00pm-11:59pm,17,17,23,11:00pm-11:59pm,56,56,0,None,0,None,0,None,1,0
2018,2,20007,Alaska,2,2,0,0,0,3,3,90,FAIRBANKS NORTH STAR (90),0,NOT APPLICABLE,5,5,3,March,2018,2,Monday,16,4:00pm-4:59pm,35,35,1,This section IS ON the NHS,1,Rural,1,Interstate,1,State Highway Agency,3,State Highway,SR-3 PARKS HWY,,2927,2927,64.70956944,64.70956944,-148.539194400,-148.53919444,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,4,Snow,10,Cloudy,4,Snow,0,No,0000000,Not Applicable,88,Not Applicable (Not Notified),88,Not Applicable (Not Notified),88,Not Applicable,88,Not Applicable,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,2,20008,Alaska,2,2,0,0,0,2,2,122,KENAI PENINSULA (122),2407,SOLDOTNA,13,13,3,March,2018,3,Tuesday,5,5:00am-5:59am,20,20,1,This section IS ON the NHS,2,Urban,1,Interstate,1,State Highway Agency,3,State Highway,SR-1 STERLING HWY,,564,564,60.49216944,60.49216944,-151.049075000,-151.049075000,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,4,Snow,11,Blowing Snow,4,Snow,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,2,20009,Alaska,1,1,0,0,0,3,3,130,KETCHIKAN GATEWAY (130),0,NOT APPLICABLE,18,18,3,March,2018,1,Sunday,17,5:00pm-5:59pm,45,45,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-7 NORTH TONGASS HWY,,93,93,55.44131944,55.44131944,-131.799397200,-131.79939722,0,No Special Jurisdiction,52,Guardrail End,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2018,2,20010,Alaska,1,1,0,1,1,1,1,20,ANCHORAGE (20),130,ANCHORAGE,18,18,3,March,2018,1,Sunday,22,10:00pm-10:59pm,32,32,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,2,County Highway Agency,6,Local Street - Municipality,COMMERCIAL DR,,7,7,61.22412778,61.22412778,-149.816702800,-149.81670278,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,34,34,22,10:00pm-10:59pm,40,40,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
