caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,dayname,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2018,55,550001,Wisconsin,1,1,0,1,1,2,2,9,BROWN (9),2000,GREEN BAY,25,25,3,March,2018,1,Sunday,12,12:00pm-12:59pm,37,37,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,3,State Highway,SR-29,OAKLAND AVE N,0,None,44.51819444,44.51819444,-88.026525000,-88.026525000,0,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,2,Four-Way Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,38,38,12,12:00pm-12:59pm,40,40,12,12:00pm-12:59pm,52,52,0,None,0,None,0,None,1,0
2018,55,550002,Wisconsin,2,2,0,0,0,2,2,19,CLARK (19),0,NOT APPLICABLE,10,10,1,January,2018,4,Wednesday,17,5:00pm-5:59pm,53,53,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,2,County Highway Agency,4,County Road,CR-GG,,0,None,44.74210556,44.74210556,-90.732555560,-90.732555560,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,2,Rain,5,"Fog, Smog, Smoke",2,Rain,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,56,56,18,6:00pm-6:59pm,48,48,19,7:00pm-7:59pm,41,41,0,None,0,None,0,None,1,0
2018,55,550003,Wisconsin,1,1,0,0,0,1,1,133,WAUKESHA (133),3740,PEWAUKEE,8,8,1,January,2018,2,Monday,5,5:00am-5:59am,7,7,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,3,State Highway,SR-164,,99998,Not Reported,43.09625556,43.09625556,-88.243750000,-88.243750000,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,5,5:00am-5:59am,17,17,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,55,550004,Wisconsin,1,1,0,0,0,1,1,33,DUNN (33),0,NOT APPLICABLE,6,6,1,January,2018,7,Saturday,2,2:00am-2:59am,20,20,1,This section IS ON the NHS,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,3,State Highway,SR-29,,99998,Not Reported,44.89913611,44.89913611,-91.688430560,-91.688430560,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,2,2:00am-2:59am,22,22,2,2:00am-2:59am,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,55,550005,Wisconsin,1,1,0,1,1,1,1,53,JACKSON (53),0,NOT APPLICABLE,3,3,1,January,2018,4,Wednesday,17,5:00pm-5:59pm,5,5,1,This section IS ON the NHS,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-10,,99998,Not Reported,44.58625833,44.58625833,-91.140619440,-91.140619440,0,No Special Jurisdiction,49,Ridden Animal or Animal Drawn Conveyance,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550006,Wisconsin,2,2,0,0,0,3,3,105,ROCK (105),0,NOT APPLICABLE,1,1,1,January,2018,2,Monday,3,3:00am-3:59am,31,31,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,1,State Highway Agency,3,State Highway,SR-59,,99998,Not Reported,42.80772222,42.80772222,-88.975183330,-88.975183330,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,3,3:00am-3:59am,31,31,3,3:00am-3:59am,38,38,4,4:00am-4:59am,15,15,0,None,0,None,0,None,1,2
2018,55,550007,Wisconsin,1,1,0,1,1,1,1,105,ROCK (105),0,NOT APPLICABLE,1,1,1,January,2018,2,Monday,3,3:00am-3:59am,31,31,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,1,State Highway Agency,3,State Highway,SR-59,,99998,Not Reported,42.80760000,42.80760000,-88.975166670,-88.975166670,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,2,On Shoulder,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,3,3:00am-3:59am,31,31,3,3:00am-3:59am,38,38,4,4:00am-4:59am,15,15,19,Recent/Previous Crash scene Nearby,0,None,0,None,1,0
2018,55,550008,Wisconsin,1,1,0,0,0,1,1,133,WAUKESHA (133),0,NOT APPLICABLE,8,8,1,January,2018,2,Monday,23,11:00pm-11:59pm,40,40,0,This section IS NOT on the NHS,1,Rural,7,Local,3,Town or Township Highway Agency,5,Local Street - Township,HILLSIDE RD,,0,None,43.14555833,43.14555833,-88.243708330,-88.243708330,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550009,Wisconsin,2,2,0,0,0,2,2,35,EAU CLAIRE (35),1470,EAU CLAIRE,12,12,2,February,2018,2,Monday,12,12:00pm-12:59pm,12,12,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-12,CRAIG RD,99998,Not Reported,44.79299722,44.79299722,-91.519055560,-91.519055560,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,1,Yes,2,Intersection,2,Four-Way Intersection,0,None,,,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,12,12,12,12:00pm-12:59pm,99,Unknown EMS Scene Arrival Minutes,12,12:00pm-12:59pm,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550010,Wisconsin,1,1,0,0,0,1,1,55,JEFFERSON (55),0,NOT APPLICABLE,3,3,1,January,2018,4,Wednesday,12,12:00pm-12:59pm,14,14,0,This section IS NOT on the NHS,1,Rural,6,Minor Collector,2,County Highway Agency,4,County Road,CR-X,,0,None,43.10404722,43.10404722,-88.716211110,-88.716211110,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,14,14,12,12:00pm-12:59pm,30,30,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,55,550012,Wisconsin,2,2,0,0,0,3,3,71,MANITOWOC (71),0,NOT APPLICABLE,13,13,1,January,2018,7,Saturday,17,5:00pm-5:59pm,50,50,0,This section IS NOT on the NHS,1,Rural,4,Minor Arterial,1,State Highway Agency,2,U.S. Highway,US-151,,99998,Not Reported,44.03705278,44.03705278,-87.954763890,-87.954763890,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,54,54,18,6:00pm-6:59pm,5,5,19,7:00pm-7:59pm,15,15,0,None,0,None,0,None,1,1
2018,55,550013,Wisconsin,1,1,0,0,0,3,3,111,SAUK (111),0,NOT APPLICABLE,12,12,1,January,2018,6,Friday,21,9:00pm-9:59pm,50,50,1,This section IS ON the NHS,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-12,,99998,Not Reported,43.35136944,43.35136944,-89.766758330,-89.766758330,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,51,51,22,10:00pm-10:59pm,1,1,22,10:00pm-10:59pm,30,30,0,None,0,None,0,None,1,1
2018,55,550014,Wisconsin,2,2,0,0,0,7,7,101,RACINE (101),795,CALEDONIA,9,9,1,January,2018,3,Tuesday,11,11:00am-11:59am,30,30,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-38,CR-H,99998,Not Reported,42.81487500,42.81487500,-87.914163890,-87.914163890,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,,,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,11,11:00am-11:59am,30,30,11,11:00am-11:59am,44,44,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550015,Wisconsin,1,1,0,0,0,2,2,133,WAUKESHA (133),5060,WAUKESHA,10,10,1,January,2018,4,Wednesday,7,7:00am-7:59am,56,56,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,4,County Road,CR-D BROADWAY AVE E,,0,None,43.00303333,43.00303333,-88.199263890,-88.199263890,0,No Special Jurisdiction,46,Traffic Signal Support,0,Not a Collision with Motor Vehicle In-Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,0,None,,,4,On Roadside,4,Dawn,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,7,7:00am-7:59am,56,56,7,7:00am-7:59am,59,59,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550016,Wisconsin,1,1,0,0,0,1,1,23,CRAWFORD (23),0,NOT APPLICABLE,11,11,1,January,2018,5,Thursday,11,11:00am-11:59am,6,6,0,This section IS NOT on the NHS,1,Rural,6,Minor Collector,2,County Highway Agency,4,County Road,CR-D,,0,None,43.17217500,43.17217500,-91.060561110,-91.060561110,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,88,Not Applicable (Not Notified),88,Not Applicable (Not Notified),88,Not Applicable,88,Not Applicable,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,55,550017,Wisconsin,1,1,0,0,0,1,1,79,MILWAUKEE (79),1921,GLENDALE,1,1,1,January,2018,2,Monday,1,1:00am-1:59am,53,53,1,This section IS ON the NHS,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-43,,99998,Not Reported,43.10920278,43.10920278,-87.917394440,-87.917394440,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,3,On Median,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,1,1:00am-1:59am,53,53,1,1:00am-1:59am,59,59,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,55,550018,Wisconsin,1,1,0,1,1,1,1,59,KENOSHA (59),2400,KENOSHA,16,16,1,January,2018,3,Tuesday,17,5:00pm-5:59pm,43,43,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,60TH ST,,0,None,42.58090278,42.58090278,-87.848627780,-87.848627780,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,43,43,17,5:00pm-5:59pm,47,47,18,6:00pm-6:59pm,51,51,0,None,0,None,0,None,1,0
2018,55,550019,Wisconsin,1,1,0,0,0,1,1,89,OZAUKEE (89),1950,GRAFTON,13,13,1,January,2018,7,Saturday,19,7:00pm-7:59pm,50,50,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,3,State Highway,SR-60,GRAFTON AVE,99998,Not Reported,43.32009722,43.32009722,-87.946800000,-87.946800000,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,,,4,On Roadside,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,55,55,20,8:00pm-8:59pm,0,0,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,55,550021,Wisconsin,2,2,0,0,0,3,3,111,SAUK (111),0,NOT APPLICABLE,19,19,1,January,2018,6,Friday,10,10:00am-10:59am,40,40,0,This section IS NOT on the NHS,1,Rural,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-60,,99998,Not Reported,43.19960556,43.19960556,-89.901669440,-89.901669440,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,10,10:00am-10:59am,47,47,10,10:00am-10:59am,59,59,11,11:00am-11:59am,33,33,0,None,0,None,0,None,1,0
2018,55,550022,Wisconsin,2,2,0,0,0,2,2,85,ONEIDA (85),0,NOT APPLICABLE,12,12,1,January,2018,6,Friday,13,1:00pm-1:59pm,5,5,1,This section IS ON the NHS,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-8,,99998,Not Reported,45.61313056,45.61313056,-89.539191670,-89.539191670,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,9,9,13,1:00pm-1:59pm,22,22,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550023,Wisconsin,2,2,0,0,0,3,3,135,WAUPACA (135),0,NOT APPLICABLE,22,22,1,January,2018,2,Monday,11,11:00am-11:59am,54,54,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,2,County Highway Agency,4,County Road,CR-B,,0,None,44.42001389,44.42001389,-88.877841670,-88.877841670,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,3,Sleet or Hail,0,No Additional Atmospheric Conditions,3,Sleet or Hail,0,No,0000000,Not Applicable,11,11:00am-11:59am,57,57,12,12:00pm-12:59pm,0,0,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550024,Wisconsin,2,2,0,0,0,4,4,31,DOUGLAS (31),4470,SOLON SPRINGS,20,20,1,January,2018,7,Saturday,11,11:00am-11:59am,42,42,1,This section IS ON the NHS,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-53,E BOUNDRY RD,99998,Not Reported,46.35983333,46.35983333,-91.832161110,-91.832161110,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,11,11:00am-11:59am,42,42,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,55,550025,Wisconsin,1,1,0,0,0,1,1,27,DODGE (27),0,NOT APPLICABLE,12,12,1,January,2018,6,Friday,22,10:00pm-10:59pm,3,3,0,This section IS NOT on the NHS,1,Rural,7,Local,2,County Highway Agency,4,County Road,CR-MM,,0,None,43.25939722,43.25939722,-88.660030560,-88.660030560,0,No Special Jurisdiction,32,Culvert,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,5,5,22,10:00pm-10:59pm,17,17,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
