caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,dayname,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2018,35,350001,New Mexico,1,1,0,1,1,2,2,29,LUNA (29),0,NOT APPLICABLE,3,3,1,January,2018,4,Wednesday,18,6:00pm-6:59pm,17,17,0,This section IS NOT on the NHS,1,Rural,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-11 COLUMBUS RD,,99998,Not Reported,32.22790833,32.22790833,-107.751319400,-107.75131944,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,35,350002,New Mexico,1,1,0,0,0,2,2,25,LEA (25),0,NOT APPLICABLE,7,7,1,January,2018,1,Sunday,20,8:00pm-8:59pm,25,25,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,2,County Highway Agency,4,County Road,CR-2 BATTLE AXE RD,,99998,Not Reported,32.13572222,32.13572222,-103.459936100,-103.45993611,0,No Special Jurisdiction,43,Other Fixed Object,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2018,35,350003,New Mexico,1,1,0,0,0,1,1,13,DONA ANA (13),470,LAS CRUCES,5,5,1,January,2018,6,Friday,12,12:00pm-12:59pm,8,8,1,This section IS ON the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,N MOTEL BLVD,,0,None,32.29975000,32.29975000,-106.813944400,-106.81394444,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,6,6,12,12:00pm-12:59pm,11,11,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2018,35,350004,New Mexico,2,1,1,0,0,1,1,25,LEA (25),410,HOBBS,19,19,1,January,2018,6,Friday,23,11:00pm-11:59pm,29,29,0,This section IS NOT on the NHS,2,Urban,7,Local,2,County Highway Agency,9,Unknown,S COCHRAN ST,W PALACE AVE,0,None,32.68502222,32.68502222,-103.141377800,-103.14137778,0,No Special Jurisdiction,14,Parked Motor Vehicle,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,,,5,Outside Trafficway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,29,29,23,11:00pm-11:59pm,31,31,0,0:00am-0:59am,5,5,0,None,0,None,0,None,1,1
2018,35,350005,New Mexico,1,1,0,0,0,2,2,25,LEA (25),550,LOVINGTON,21,21,1,January,2018,1,Sunday,0,0:00am-0:59am,35,35,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,S 17TH ST,,0,None,32.93000833,32.93000833,-103.367861100,-103.36786111,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,10,10,12,12:00pm-12:59pm,12,12,12,12:00pm-12:59pm,57,57,0,None,0,None,0,None,1,1
2018,35,350006,New Mexico,2,2,0,0,0,4,4,39,RIO ARRIBA (39),707,SANTA CLARA PUEBLO,24,24,1,January,2018,4,Wednesday,19,7:00pm-7:59pm,1,1,0,This section IS NOT on the NHS,1,Rural,4,Minor Arterial,1,State Highway Agency,3,State Highway,SR-30,,99998,Not Reported,35.95951111,35.95951111,-106.104888900,-106.10488889,3,Indian Reservation,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,38,38,18,6:00pm-6:59pm,44,44,19,7:00pm-7:59pm,10,10,0,None,0,None,0,None,1,0
2018,35,350007,New Mexico,1,1,0,1,1,1,1,25,LEA (25),410,HOBBS,20,20,1,January,2018,7,Saturday,17,5:00pm-5:59pm,28,28,0,This section IS NOT on the NHS,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,6,Local Street - Municipality,N TURNER ST,,0,None,32.71059167,32.71059167,-103.136155600,-103.13615556,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,31,31,17,5:00pm-5:59pm,33,33,17,5:00pm-5:59pm,47,47,0,None,0,None,0,None,1,0
2018,35,350008,New Mexico,1,1,0,0,0,1,1,3,CATRON (3),0,NOT APPLICABLE,31,31,1,January,2018,4,Wednesday,15,3:00pm-3:59pm,29,29,0,This section IS NOT on the NHS,1,Rural,7,Local,2,County Highway Agency,9,Unknown,POWER LINE RD,,99998,Not Reported,34.20460278,34.20460278,-108.932241700,-108.93224167,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,40,40,16,4:00pm-4:59pm,25,25,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2018,35,350009,New Mexico,1,1,0,1,1,1,1,31,MCKINLEY (31),0,NOT APPLICABLE,5,5,2,February,2018,2,Monday,20,8:00pm-8:59pm,0,0,1,This section IS ON the NHS,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-40 RAMP,,99998,Not Reported,35.40139167,35.40139167,-109.003175000,-109.003175000,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,1,Yes,20,Entrance/Exit Ramp,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,6,6,19,7:00pm-7:59pm,23,23,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,35,350010,New Mexico,1,1,0,1,1,1,1,31,MCKINLEY (31),340,GALLUP,9,9,2,February,2018,6,Friday,7,7:00am-7:59am,6,6,1,This section IS ON the NHS,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-40,,99998,Not Reported,35.52420833,35.52420833,-108.774613900,-108.77461389,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,11,11,7,7:00am-7:59am,15,15,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,35,350011,New Mexico,1,1,0,1,1,0,0,1,BERNALILLO (1),30,ALBUQUERQUE,7,7,2,February,2018,4,Wednesday,16,4:00pm-4:59pm,45,45,0,This section IS NOT on the NHS,2,Urban,7,Local,4,City or Municipal Highway Agency,9,Unknown,WISCONSIN ST SE,,0,None,35.07379167,35.07379167,-106.551455600,-106.55145556,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,4,Driveway Access,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,51,51,16,4:00pm-4:59pm,56,56,17,5:00pm-5:59pm,8,8,0,None,0,None,0,None,1,0
2018,35,350012,New Mexico,3,3,0,0,0,5,5,15,EDDY (15),0,NOT APPLICABLE,18,18,2,February,2018,1,Sunday,7,7:00am-7:59am,22,22,1,This section IS ON the NHS,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-285,,99998,Not Reported,32.23398889,32.23398889,-104.078650000,-104.078650000,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,16,16,7,7:00am-7:59am,32,32,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,2,0
2018,35,350013,New Mexico,1,1,0,0,0,1,1,57,TORRANCE (57),779,TAJIQUE,19,19,2,February,2018,2,Monday,9,9:00am-9:59am,13,13,0,This section IS NOT on the NHS,1,Rural,5,Major Collector,1,State Highway Agency,3,State Highway,SR-337,,99998,Not Reported,34.82514444,34.82514444,-106.219486100,-106.21948611,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,,,4,On Roadside,1,Daylight,6,Severe Crosswinds,0,No Additional Atmospheric Conditions,6,Severe Crosswinds,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2018,35,350014,New Mexico,1,1,0,0,0,1,1,57,TORRANCE (57),0,NOT APPLICABLE,16,16,2,February,2018,6,Friday,5,5:00am-5:59am,0,0,1,This section IS ON the NHS,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,2,U.S. Highway,US-285,US-60,99998,Not Reported,34.65597222,34.65597222,-105.476216700,-105.47621667,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,4,Y-Intersection,0,None,,,8,Gore,4,Dawn,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
